KundeNr	Niederlassung
K1193	Hessen
K1194	Hessen
K1195	Thüringen
K1196	Niedersachsen
K1197	Baden-Württemberg
K1198	Nordrhein-Westfalen
K1199	Sachsen
K1200	Nordrhein-Westfalen
K1201	Hessen
K1202	Niedersachsen
K1203	Thüringen
K1204	Baden-Württemberg
K1205	Niedersachsen
K1206	Bayern
K1207	Niedersachsen
K1208	Hessen
K1209	Baden-Württemberg
K1210	Bayern
K1211	Hessen
K1212	Baden-Württemberg
K1213	Bayern
K1214	Nordrhein-Westfalen
K1215	Bayern
K1216	Brandenburg
K1217	Sachsen
K1218	Bayern
K1219	Berlin
K1220	Hessen
K1221	Nordrhein-Westfalen
K1222	Sachsen
K1223	Sachsen
K1224	Nordrhein-Westfalen
K1225	Bayern
K1226	Baden-Württemberg
K1227	Berlin
K1228	Baden-Württemberg
K1229	Niedersachsen
K1230	Niedersachsen
K1231	Baden-Württemberg
K1232	Nordrhein-Westfalen
K1233	Bayern
K1234	Berlin
K1235	Niedersachsen
K1236	Berlin
K1237	Berlin
K1238	Baden-Württemberg
K1239	Berlin
K1240	Nordrhein-Westfalen
K1241	Sachsen
K1242	Berlin
K1243	Berlin
K1244	Niedersachsen
K1245	Sachsen
K1246	Bayern
K1247	Berlin
K1248	Nordrhein-Westfalen
K1249	Hessen
K1250	Baden-Württemberg
K1251	Hessen
K1252	Baden-Württemberg
K1253	Hamburg
K1254	Hamburg
K1255	Nordrhein-Westfalen
K1256	Berlin
K1257	Bayern
K1258	Bayern
K1259	Nordrhein-Westfalen
K1260	Baden-Württemberg
K1261	Berlin
K1262	Baden-Württemberg
K1263	Nordrhein-Westfalen
K1264	Berlin
K1265	Bayern
K1266	Bayern
K1267	Nordrhein-Westfalen
K1268	Hessen
K1269	Niedersachsen
K1270	Sachsen
K1271	Sachsen
K1272	Bayern
K1273	Thüringen
K1274	Baden-Württemberg
K1275	Berlin
K1276	Sachsen
K1277	Bayern
K1278	Bayern
K1279	Bayern
K1280	Hessen
K1281	Berlin
K1282	Nordrhein-Westfalen
K1283	Sachsen
K1284	Niedersachsen
K1285	Bayern
K1286	Sachsen
K1287	Bayern
K1288	Baden-Württemberg
K1289	Baden-Württemberg
K1290	Hessen
K1291	Baden-Württemberg
K1292	Baden-Württemberg
K1293	Bayern
K1294	Bayern
K1295	Hessen
K1296	Nordrhein-Westfalen
K1297	Nordrhein-Westfalen
K1298	Bayern
K1299	Bayern
K1300	Thüringen
K1301	Baden-Württemberg
K1302	Nordrhein-Westfalen
K1303	Baden-Württemberg
K1304	Sachsen
K1305	Bayern
K1306	Berlin
K1307	Niedersachsen
K1308	Hessen
K1309	Bayern
K1310	Hessen
K1311	Nordrhein-Westfalen
K1312	Baden-Württemberg
K1313	Baden-Württemberg
K1314	Berlin
K1315	Baden-Württemberg
K1316	Niedersachsen
K1317	Bayern
K1318	Berlin
K1319	Baden-Württemberg
K1320	Hamburg
K1321	Baden-Württemberg
K1322	Baden-Württemberg
K1323	Baden-Württemberg
K1324	Thüringen
K1325	Baden-Württemberg
K1326	Niedersachsen
K1327	Baden-Württemberg
K1328	Baden-Württemberg
K1329	Brandenburg
K1330	Berlin
K1331	Thüringen
K1332	Sachsen
K1333	Nordrhein-Westfalen
K1334	Hessen
K1335	Berlin
K1336	Bayern
K1337	Sachsen
K1338	Hessen
K1339	Hessen
K1340	Bayern
K1341	Baden-Württemberg
K1342	Sachsen
K1343	Bayern
K1344	Berlin
K1345	Baden-Württemberg
K1346	Nordrhein-Westfalen
K1347	Baden-Württemberg
K1348	Nordrhein-Westfalen
K1349	Baden-Württemberg
K1350	Sachsen
K1351	Nordrhein-Westfalen
K1352	Baden-Württemberg
K1353	Hessen
K1354	Bayern
K1355	Baden-Württemberg
K1356	Nordrhein-Westfalen
K1357	Berlin
K1358	Berlin
K1359	Baden-Württemberg
K1360	Berlin
K1361	Nordrhein-Westfalen
K1362	Bayern
K1363	Thüringen
K1364	Sachsen
K1365	Baden-Württemberg
K1366	Baden-Württemberg
K1367	Nordrhein-Westfalen
K1368	Berlin
K1369	Baden-Württemberg
K1370	Bayern
K1371	Hessen
K1372	Nordrhein-Westfalen
K1373	Baden-Württemberg
K1374	Baden-Württemberg
K1375	Sachsen
K1376	Nordrhein-Westfalen
K1377	Hessen
K1378	Nordrhein-Westfalen
K1379	Berlin
K1380	Nordrhein-Westfalen
K1381	Berlin
K1382	Bayern
K1383	Nordrhein-Westfalen
K1384	Berlin
K1385	Thüringen
K1386	Bayern
K1387	Sachsen
K1388	Sachsen
K1389	Bayern
K1390	Nordrhein-Westfalen
K1391	Berlin
K1392	Sachsen
K1393	Berlin
K1394	Nordrhein-Westfalen
K1395	Berlin
K1396	Bayern
K1397	Baden-Württemberg
K1398	Berlin
K1399	Nordrhein-Westfalen
K1400	Hessen
K1401	Niedersachsen
K1402	Bayern
K1403	Brandenburg
K1404	Baden-Württemberg
K1405	Nordrhein-Westfalen
K1406	Thüringen
K1407	Berlin
K1408	Baden-Württemberg
K1409	Baden-Württemberg
K1410	Niedersachsen
K1411	Hessen
K1412	Nordrhein-Westfalen
K1413	Bayern
K1414	Nordrhein-Westfalen
K1415	Niedersachsen
K1416	Bayern
K1417	Hamburg
K1418	Baden-Württemberg
K1419	Berlin
K1420	Sachsen
K1421	Berlin
K1422	Nordrhein-Westfalen
K1423	Hessen
K1424	Baden-Württemberg
K1425	Hessen
K1426	Brandenburg
K1427	Berlin
K1428	Baden-Württemberg
K1429	Berlin
K1430	Baden-Württemberg
K1431	Baden-Württemberg
K1432	Berlin
K1433	Bayern
K1434	Sachsen
K1435	Berlin
K1436	Nordrhein-Westfalen
K1437	Hamburg
K1438	Niedersachsen
K1439	Bayern
K1440	Sachsen
K1441	Hamburg
K1442	Nordrhein-Westfalen
K1443	Bayern
K1444	Baden-Württemberg
K1445	Niedersachsen
K1446	Baden-Württemberg
K1447	Berlin
K1448	Baden-Württemberg
K1449	Hessen
K1450	Thüringen
K1451	Berlin
K1452	Nordrhein-Westfalen
K1453	Brandenburg
K1454	Brandenburg
K1455	Sachsen
K1456	Sachsen
K1457	Nordrhein-Westfalen
K1458	Bayern
K1459	Hamburg
K1460	Bayern
K1461	Berlin
K1462	Brandenburg
K1463	Nordrhein-Westfalen
K1464	Sachsen
K1465	Berlin
K1466	Baden-Württemberg
K1467	Nordrhein-Westfalen
K1468	Baden-Württemberg
K1469	Hessen
K1470	Baden-Württemberg
K1471	Berlin
K1472	Thüringen
K1473	Baden-Württemberg
K1474	Berlin
K1475	Bayern
K1476	Sachsen
K1477	Nordrhein-Westfalen
K1478	Bayern
K1479	Baden-Württemberg
K1480	Hessen
K1481	Bayern
K1482	Niedersachsen
K1483	Baden-Württemberg
K1484	Baden-Württemberg
K1485	Niedersachsen
K1486	Bayern
K1487	Nordrhein-Westfalen
K1488	Baden-Württemberg
K1489	Bayern
K1490	Thüringen
K1491	Berlin
K1492	Niedersachsen
K1493	Baden-Württemberg
K1494	Hessen
K1495	Nordrhein-Westfalen
K1496	Bayern
K1497	Nordrhein-Westfalen
K1498	Hessen
K1499	Berlin
K1500	Hessen
K1501	Hessen
K1502	Baden-Württemberg
K1503	Berlin
K1504	Bayern
K1505	Berlin
K1506	Nordrhein-Westfalen
K1507	Brandenburg
K1508	Sachsen
K1509	Bayern
K1510	Berlin
K1511	Nordrhein-Westfalen
K1512	Hamburg
K1513	Hamburg
K1514	Baden-Württemberg
K1515	Berlin
K1516	Bayern
K1517	Thüringen
K1518	Bayern
K1519	Sachsen
K1520	Niedersachsen
K1521	Bayern
K1522	Hamburg
K1523	Nordrhein-Westfalen
K1524	Sachsen
K1525	Baden-Württemberg
K1526	Bayern
K1527	Bayern
K1528	Baden-Württemberg
K1529	Hessen
K1530	Nordrhein-Westfalen
K1531	Berlin
K1532	Nordrhein-Westfalen
K1533	Hessen
K1534	Berlin
K1535	Baden-Württemberg
K1536	Niedersachsen
K1537	Nordrhein-Westfalen
K1538	Niedersachsen
K1539	Baden-Württemberg
K1540	Bayern
K1541	Baden-Württemberg
K1542	Hessen
K1543	Nordrhein-Westfalen
K1544	Baden-Württemberg
K1545	Nordrhein-Westfalen
K1546	Hessen
K1547	Niedersachsen
K1548	Thüringen
K1549	Baden-Württemberg
K1550	Sachsen
K1551	Baden-Württemberg
K1552	Berlin
K1553	Nordrhein-Westfalen
K1554	Sachsen
K1555	Brandenburg
K1556	Hessen
K1557	Niedersachsen
K1558	Nordrhein-Westfalen
K1559	Baden-Württemberg
K1560	Nordrhein-Westfalen
K1561	Brandenburg
K1562	Berlin
K1563	Berlin
K1564	Brandenburg
K1565	Sachsen
K1566	Hamburg
K1567	Thüringen
K1568	Baden-Württemberg
K1569	Nordrhein-Westfalen
K1570	Nordrhein-Westfalen
K1571	Niedersachsen
K1572	Hessen
K1573	Hessen
K1574	Nordrhein-Westfalen
K1575	Nordrhein-Westfalen
K1576	Baden-Württemberg
K1577	Nordrhein-Westfalen
K1578	Berlin
K1579	Bayern
K1580	Nordrhein-Westfalen
K1581	Berlin
K1582	Nordrhein-Westfalen
K1583	Bayern
K1584	Baden-Württemberg
K1585	Brandenburg
K1586	Baden-Württemberg
K1587	Nordrhein-Westfalen
K1588	Bayern
K1589	Berlin
K1590	Baden-Württemberg
K1591	Bayern
K1592	Nordrhein-Westfalen
K1593	Baden-Württemberg
K1594	Niedersachsen
K1595	Sachsen
K1596	Niedersachsen
K1597	Nordrhein-Westfalen
K1598	Baden-Württemberg
K1599	Bayern
K1600	Sachsen
K1601	Niedersachsen
K1602	Niedersachsen
K1603	Niedersachsen
K1604	Berlin
K1605	Baden-Württemberg
K1606	Nordrhein-Westfalen
K1607	Niedersachsen
K1608	Berlin
K1609	BERLIN
K1610	Bayern
K1611	Bayern
K1612	Nordrhein-Westfalen
K1613	Nordrhein-Westfalen
K1614	Hamburg
K1615	Baden-Württemberg
K1616	Bayern
K1617	Niedersachsen
K1618	Berlin
K1619	Nordrhein-Westfalen
K1620	Sachsen
K1621	Nordrhein-Westfalen
K1622	Berlin
K1623	Nordrhein-Westfalen
K1624	Bayern
K1625	Baden-Württemberg
K1626	Baden-Württemberg
K1627	Berlin
K1628	Sachsen
K1629	Bayern
K1630	Bayern
K1631	Thüringen
K1632	Baden-Württemberg
K1633	Nordrhein-Westfalen
K1634	Bayern
K1635	Baden-Württemberg
K1636	Sachsen
K1637	Baden-Württemberg
K1638	Hessen
K1639	Bayern
K1640	Baden-Württemberg
K1641	Baden-Württemberg
K1642	Baden-Württemberg
K1643	Baden-Württemberg
K1644	Nordrhein-Westfalen
K1645	Brandenburg
K1646	Bayern
K1647	Berlin
K1648	Sachsen
K1649	Sachsen
K1650	Niedersachsen
K1651	Sachsen
K1652	Bayern
K1653	Berlin
K1654	Hessen
K1655	Hessen
K1656	Brandenburg
K1657	Berlin
K1658	Thüringen
K1659	Nordrhein-Westfalen
K1660	Berlin
K1661	Nordrhein-Westfalen
K1662	Bayern
K1663	Baden-Württemberg
K1664	Bayern
K1665	Berlin
K1666	Baden-Württemberg
K1667	Nordrhein-Westfalen
K1668	Bayern
K1669	Hessen
K1670	Baden-Württemberg
K1671	Baden-Württemberg
K1672	Sachsen
K1673	Hessen
K1674	Thüringen
K1675	Thüringen
K1676	Berlin
K1677	Bayern
K1678	Nordrhein-Westfalen
K1679	Thüringen
K1680	Hessen
K1681	Nordrhein-Westfalen
K1682	Nordrhein-Westfalen
K1683	Bayern
K1684	Hessen
K1685	Nordrhein-Westfalen
K1686	Niedersachsen
K1687	Baden-Württemberg
K1688	Bayern
K1689	Baden-Württemberg
K1690	Bayern
K1691	Sachsen
K1692	Baden-Württemberg
K1693	Bayern
K1694	Bayern
K1695	Hessen
K1696	Hamburg
K1697	Bayern
K1698	Baden-Württemberg
K1699	Bayern
K1700	Brandenburg
K1701	Bayern
K1702	Sachsen
K1703	Berlin
K1704	Baden-Württemberg
K1705	Nordrhein-Westfalen
K1706	Bayern
K1707	Niedersachsen
K1708	Bayern
K1709	Hessen
K1710	Nordrhein-Westfalen
K1711	Sachsen
K1712	Bayern
K1713	Bayern
K1714	Berlin
K1715	Sachsen
K1716	Sachsen
K1717	Baden-Württemberg
K1718	Baden-Württemberg
K1719	Brandenburg
K1720	Baden-Württemberg
K1721	Bayern
K1722	Baden-Württemberg
K1723	Niedersachsen
K1724	Sachsen
K1725	Thüringen
K1726	Berlin
K1727	Hessen
K1728	Nordrhein-Westfalen
K1729	Baden-Württemberg
K1730	Niedersachsen
K1731	Berlin
K1732	Bayern
K1733	Berlin
K1734	Baden-Württemberg
K1735	Niedersachsen
K1736	Bayern
K1737	Bayern
K1738	Baden-Württemberg
K1739	Nordrhein-Westfalen
K1740	Brandenburg
K1741	Hessen
K1742	Hessen
K1743	Berlin
K1744	Baden-Württemberg
K1745	Nordrhein-Westfalen
K1746	Baden-Württemberg
K1747	Baden-Württemberg
K1748	Niedersachsen
K1749	Bayern
K1750	Bayern
K1751	Berlin
K1752	Berlin
K1753	Niedersachsen
K1754	Hessen
K1755	Niedersachsen
K1756	Niedersachsen
K1757	Bayern
K1758	Bayern
K1759	Berlin
K1760	Bayern
K1761	Thüringen
K1762	Nordrhein-Westfalen
K1763	Baden-Württemberg
K1764	Baden-Württemberg
K1765	Baden-Württemberg
K1766	Bayern
K1767	Baden-Württemberg
K1768	Hamburg
K1769	Nordrhein-Westfalen
K1770	Nordrhein-Westfalen
K1771	Bayern
K1772	Berlin
K1773	Brandenburg
K1774	Nordrhein-Westfalen
K1775	Nordrhein-Westfalen
K1776	Sachsen
K1777	Brandenburg
K1778	Niedersachsen
K1779	Baden-Württemberg
K1780	Hessen
K1781	Bayern
K1782	Berlin
K1783	Niedersachsen
K1784	Bayern
K1785	Baden-Württemberg
K1786	Baden-Württemberg
K1787	Baden-Württemberg
K1788	Baden-Württemberg
K1789	Baden-Württemberg
K1790	Bayern
K1791	Bayern
K1792	Thüringen
K1793	Bayern
K1794	Baden-Württemberg
K1795	Hamburg
K1796	Nordrhein-Westfalen
K1797	Niedersachsen
K1798	Bayern
K1799	Hessen
K1800	Niedersachsen
K1801	Nordrhein-Westfalen
K1802	Niedersachsen
K1803	Nordrhein-Westfalen
K1804	Nordrhein-Westfalen
K1805	Hessen
K1806	Berlin
K1807	Niedersachsen
K1808	Nordrhein-Westfalen
K1809	Baden-Württemberg
K1810	Thüringen
K1811	Baden-Württemberg
K1812	Berlin
K1813	Nordrhein-Westfalen
K1814	Bayern
K1815	Berlin
K1816	Baden-Württemberg
K1817	Berlin
K1818	Baden-Württemberg
K1819	Bayern
K1820	Berlin
K1821	Thüringen
K1822	Thüringen
K1823	Baden-Württemberg
K1824	Nordrhein-Westfalen
K1825	Baden-Württemberg
K1826	Baden-Württemberg
K1827	Baden-Württemberg
K1828	Thüringen
K1829	Sachsen
K1830	Baden-Württemberg
K1831	Baden-Württemberg
K1832	Bayern
K1833	Hamburg
K1834	Hessen
K1835	Bayern
K1836	Nordrhein-Westfalen
K1837	Bayern
K1838	Sachsen
K1839	Niedersachsen
K1840	Berlin
K1841	Nordrhein-Westfalen
K1842	Nordrhein-Westfalen
K1843	Bayern
K1844	Bayern
K1845	Sachsen
K1846	Baden-Württemberg
K1847	Baden-Württemberg
K1848	Berlin
K1849	Nordrhein-Westfalen
K1850	Nordrhein-Westfalen
K1851	Sachsen
K1852	Hamburg
K1853	Baden-Württemberg
K1854	Hessen
K1855	Nordrhein-Westfalen
K1856	Baden-Württemberg
K1857	Baden-Württemberg
K1858	Baden-Württemberg
K1859	Hessen
K1860	Sachsen
K1861	Niedersachsen
K1862	Thüringen
K1863	Baden-Württemberg
K1864	Sachsen
K1865	Nordrhein-Westfalen
K1866	Bayern
K1867	Thüringen
K1868	Bayern
K1869	Sachsen
K1870	Sachsen
K1871	Nordrhein-Westfalen
K1872	Hessen
K1873	Baden-Württemberg
K1874	Hamburg
K1875	Bayern
K1876	Nordrhein-Westfalen
K1877	Nordrhein-Westfalen
K1878	Sachsen
K1879	Baden-Württemberg
K1880	Nordrhein-Westfalen
K1881	Sachsen
K1882	Nordrhein-Westfalen
K1883	Baden-Württemberg
K1884	Baden-Württemberg
K1885	Baden-Württemberg
K1886	Hessen
K1887	Hessen
K1888	Thüringen
K1889	Berlin
K1890	Bayern
K1891	Hessen
K1892	Nordrhein-Westfalen
K1893	Sachsen
K1894	Nordrhein-Westfalen
K1895	Berlin
K1896	Niedersachsen
K1897	Nordrhein-Westfalen
K1898	Brandenburg
K1899	Bayern
K1900	Baden-Württemberg
K1901	Baden-Württemberg
K1902	Niedersachsen
K1903	Baden-Württemberg
K1904	Bayern
K1905	Bayern
K1906	Hessen
K1907	Berlin
K1908	Niedersachsen
K1909	Baden-Württemberg
K1910	Baden-Württemberg
K1911	Brandenburg
K1912	Bayern
K1913	Bayern
K1914	Baden-Württemberg
K1915	Sachsen
K1916	Niedersachsen
K1917	Baden-Württemberg
K1918	Baden-Württemberg
K1919	Thüringen
K1920	Niedersachsen
K1921	Berlin
K1922	Niedersachsen
K1923	Nordrhein-Westfalen
K1924	Nordrhein-Westfalen
K1925	Berlin
K1926	Berlin
K1927	Baden-Württemberg
K1928	Sachsen
K1929	Hessen
K1930	Bayern
K1931	Sachsen
K1932	Sachsen
K1933	Thüringen
K1934	Nordrhein-Westfalen
K1935	Thüringen
K1936	Bayern
K1937	Nordrhein-Westfalen
K1938	Nordrhein-Westfalen
K1939	Bayern
K1940	Baden-Württemberg
K1941	Thüringen
K1942	Bayern
K1943	Nordrhein-Westfalen
K1944	Baden-Württemberg
K1945	Baden-Württemberg
K1946	Berlin
K1947	Bayern
K1948	Niedersachsen
K1949	Hessen
K1950	Baden-Württemberg
K1951	Baden-Württemberg
K1952	Berlin
K1953	Baden-Württemberg
K1954	Nordrhein-Westfalen
K1955	Berlin
K1956	Baden-Württemberg
K1957	Brandenburg
K1958	Baden-Württemberg
K1959	Baden-Württemberg
K1960	Bayern
K1961	Nordrhein-Westfalen
K1962	Sachsen
K1963	Nordrhein-Westfalen
K1964	Bayern
K1965	Bayern
K1966	Hamburg
K1967	Nordrhein-Westfalen
K1968	Thüringen
K1969	Baden-Württemberg
K1970	Baden-Württemberg
K1971	Niedersachsen
K1972	Nordrhein-Westfalen
K1973	Düsseldorf
K1974	Niedersachsen
K1975	Thüringen
K1976	Hamburg
K1977	Sachsen
K1978	Thüringen
K1979	Nordrhein-Westfalen
K1980	Bayern
K1981	Baden-Württemberg
K1982	Hamburg
K1983	Berlin
K1984	Nordrhein-Westfalen
K1985	Baden-Württemberg
K1986	Bayern
K1987	NRW
K1988	Baden-Württemberg
K1989	Bayern
K1990	Berlin
K1991	Hessen
K1992	Baden-Württemberg
K1993	Nordrhein-Westfalen
K1994	Berlin
K1995	Berlin-Charlottenburg
