Alter,Einkommen,Geschlecht,Zeit,KundeNr,Preis
31,45575,1,41,K0729,67425.51
39,48855,1,46,K0426,68265.8
68,84070,1,63,K0573,122645.18
68,83899,0,59,K0523,128052.56
55,81244,1,58,K0614,108119.52
44,40928,0,36,K0938,68349.12
53,30821,1,26,K0011,58450.55
33,46732,1,37,K1094,78942.39
61,59597,0,47,K0934,104647.51
53,63147,1,47,K0725,105317.06
31,30572,0,31,K0328,47857.93
31,24944,1,35,K0179,31094.22
57,37682,0,45,K0568,48170.28
42,68945,1,49,K0974,88842.18
49,32964,0,29,K0591,49823.49
37,55505,1,39,K0952,61612.78
40,50626,1,40,K0586,75452.53
43,45517,0,33,K0114,63320.19
60,60569,0,52,K0843,89849.34
68,94307,0,56,K0334,139799.0
46,50946,0,32,K0050,83406.88
63,92456,0,57,K0060,141292.39
69,80400,0,54,K0945,120052.16
50,55477,1,46,K1028,88889.58
35,25203,1,37,K0755,48554.06
49,34170,0,30,K0274,53806.21
35,53806,1,45,K0949,84195.58
50,35262,0,25,K0585,55722.36
55,79794,1,54,K0784,118498.73
62,72626,1,59,K0219,109158.35
68,77118,1,47,K0159,83418.33
47,56965,0,41,K0532,86689.81
48,67923,0,41,K0211,104683.62
63,55422,0,40,K0680,81784.14
50,64086,1,34,K1035,92285.2
51,72996,0,50,K0813,124497.54
34,25970,0,33,K0981,45444.01
30,42551,1,46,K0084,58706.65
58,73890,0,48,K0982,100147.52
39,59413,0,44,K0421,80369.74
60,51460,1,31,K0834,80985.24
51,72225,0,52,K0826,120296.65
46,65611,1,54,K0721,85435.92
61,57745,1,49,K0129,102766.17
35,38580,1,44,K0360,47131.37
36,55185,0,50,K0276,64034.01
58,52599,1,47,K0954,88810.94
32,31090,1,29,K0320,59413.64
58,59695,1,43,K0077,99547.37
66,73497,1,47,K0618,104863.39
49,40198,1,52,K0209,62115.3
37,43760,1,35,K0571,63570.42
68,70277,1,48,K0221,130143.33
56,66786,1,55,K0287,108886.48
47,57545,1,45,K0789,70459.81
48,47153,0,20,K0378,67603.44
48,30477,1,29,K0244,53902.36
36,47319,0,43,K0140,76696.47
36,39697,0,48,K0232,60883.05
40,59298,1,40,K0994,96941.73
35,51556,1,46,K0631,73467.98
69,82036,0,52,K0372,118543.95
56,69651,1,54,K0709,123769.4
62,62114,1,44,K0271,87670.86
37,37168,1,30,K0815,55031.56
31,41983,1,50,K0968,43660.45
36,46427,1,28,K1055,57408.1
70,63937,0,46,K0157,121009.5
33,23596,1,27,K0862,44008.34
56,67000,1,63,K0964,117255.91
56,57640,0,46,K0986,83811.43
65,86078,0,68,K1030,133381.03
55,62380,0,64,K0465,92302.99
30,49606,0,34,K0079,76579.11
32,50330,1,27,K0175,49540.28
32,28303,0,26,K0809,57388.47
64,93624,1,55,K0791,126237.04
64,85374,1,62,K0528,121684.52
50,41164,1,31,K0644,74268.93
62,80179,1,56,K0332,138650.02
43,44559,1,22,K0040,74144.49
32,40277,1,34,K0031,42093.26
63,63391,0,43,K0814,105484.64
65,77918,1,62,K0137,104728.1
35,53464,1,41,K0055,82821.95
65,58549,1,38,K0812,97388.62
34,55070,0,46,K0717,67139.29
60,70296,1,46,K0526,94507.15
50,70355,0,50,K1063,104977.17
51,75335,0,50,K0324,110590.22
47,48751,1,43,K0632,79984.29
37,48957,0,36,K0004,76412.36
33,35813,1,31,K0431,54223.32
70,90763,1,74,K0505,149827.25
36,59150,0,46,K1072,63818.75
30,51957,1,37,K0689,86152.97
66,67768,1,54,K1014,125157.59
58,65162,1,56,K0261,106934.76
51,54077,1,48,K0200,77842.13
55,68245,0,52,K0059,112358.24
60,68926,1,39,K0064,91715.99
67,87538,1,53,K0702,120582.75
44,57008,0,43,K0714,77339.83
68,62116,0,44,K0366,98786.45
63,85695,1,61,K0101,114451.46
61,65117,0,49,K0169,102799.87
69,63958,1,42,K0540,106491.22
51,64228,0,46,K0356,85280.73
53,68587,0,61,K0248,94955.06
49,66068,1,51,K0569,93925.34
61,74008,1,62,K1074,110730.9
61,91903,0,60,K0389,111764.41
40,45828,1,46,K1024,93946.55
59,78591,1,66,K1080,121131.95
49,74627,1,65,K0887,102198.45
64,86943,1,68,K0480,126122.42
31,22137,1,20,K1046,38697.44
43,70304,1,52,K0067,83886.2
37,31911,0,34,K0615,49510.98
52,49657,1,46,K0068,89589.3
45,57880,0,44,K0245,98898.93
69,89082,1,66,K0013,124730.66
52,59767,1,52,K0355,90442.28
34,51868,1,33,K0757,87676.29
55,62186,0,38,K0463,90301.78
33,45811,1,40,K0297,64066.66
59,66293,0,44,K0637,91936.18
51,65955,0,44,K0753,122657.88
30,18515,1,30,K0185,41027.79
49,55986,1,37,K0343,71207.17
61,72725,1,42,K0582,109982.32
34,60319,0,51,K0238,77978.88
47,55536,0,37,K0483,76897.16
62,76222,1,56,K1058,107580.68
53,50089,1,39,K0322,90472.38
33,38675,1,13,K0983,56493.4
33,35064,1,39,K0925,48350.07
30,42861,1,42,K0772,74561.85
54,57917,1,47,K1007,94386.02
64,78797,1,65,K0257,109839.35
59,59443,0,46,K0291,99016.21
57,56668,0,37,K0293,95820.3
44,48195,1,29,K0003,85705.57
48,44481,1,30,K0007,63604.43
40,50097,0,38,K0902,73036.86
69,74462,1,36,K0391,110415.92
69,88545,1,58,K1085,130019.9
60,89512,1,59,K0319,145466.52
31,37149,1,29,K0886,65317.0
66,77961,0,40,K0963,121393.97
31,56282,0,43,K0883,81611.9
61,72965,0,52,K0216,117298.71
45,82896,1,53,K0266,116749.66
38,44329,0,29,K0534,48028.91
65,80375,1,64,K0874,121858.27
30,55132,0,55,K0597,74760.4
41,53816,1,34,K0446,68749.31
61,82624,1,59,K1100,134755.8
55,75863,1,60,K0763,96369.11
46,67111,1,55,K0658,93112.35
57,78848,1,59,K0300,122846.97
68,66119,0,59,K0799,107741.21
57,73224,1,49,K0617,94361.83
35,20317,0,24,K0368,60372.24
44,42754,0,35,K0894,69418.9
43,33444,1,36,K0347,63707.22
30,47328,0,45,K0429,72459.7
63,88113,1,72,K0705,123910.94
54,53037,1,44,K0026,88479.15
60,94859,1,61,K0425,138156.74
60,66507,1,41,K0975,103384.25
65,45863,0,47,K1011,88037.39
37,28037,0,24,K0980,37558.95
69,89976,1,71,K0107,129284.1
33,69142,1,52,K0056,107174.44
66,86491,1,59,K0381,127825.69
48,66286,1,38,K0214,88275.44
56,67292,1,54,K0121,90615.29
52,43463,1,26,K0881,57784.07
36,57337,0,53,K0553,95615.03
53,54940,1,45,K0073,82628.47
42,44277,1,39,K0629,67064.45
31,38149,1,43,K0353,46875.9
38,57891,1,38,K0508,73104.4
44,56488,1,39,K0850,99913.03
57,66341,0,38,K0627,85104.71
62,79285,1,49,K0443,121004.55
53,62592,1,48,K0307,93932.46
63,60374,1,38,K0352,92221.35
44,63671,0,48,K0775,102706.73
68,69381,1,45,K0524,102303.37
66,74011,1,56,K0696,116589.56
51,63650,1,54,K1069,95477.5
62,73034,1,38,K0579,104459.86
60,51150,1,38,K0309,94420.15
38,45935,0,49,K0478,76303.93
39,45873,1,47,K0061,75731.69
37,38116,0,29,K0606,77480.16
34,52606,1,42,K0093,83864.29
33,35069,0,29,K0719,43110.27
43,56948,1,35,K0923,67634.12
31,30362,0,31,K0783,34904.28
51,68806,0,61,K0281,98128.97
62,86770,1,63,K0825,112809.13
63,83693,1,70,K0424,119357.7
37,56641,0,50,K0345,59783.06
61,60160,1,53,K0183,100767.22
34,46577,1,30,K0544,71156.2
60,62903,1,47,K0838,125573.59
30,34125,1,30,K0111,46414.4
43,50963,0,34,K0405,76275.31
32,38008,1,17,K0598,59823.29
41,53363,1,38,K0533,75926.68
53,47966,1,39,K0486,73902.32
32,45461,1,36,K0742,69182.41
47,55494,0,38,K0928,83850.57
47,55524,0,41,K0262,67983.37
70,67872,0,44,K0495,114545.55
30,54381,1,42,K0550,83223.78
63,66597,0,40,K0727,83837.24
55,60489,1,47,K1003,105741.8
42,53324,1,38,K0138,79456.84
60,60911,0,52,K0596,97769.6
62,74323,1,46,K0363,103270.9
67,73888,1,51,K0896,111202.84
64,72974,1,36,K0653,106325.73
39,39225,1,29,K0667,83313.68
50,57036,1,40,K0671,95823.72
44,52043,1,42,K0030,72895.13
62,96569,0,80,K0249,140745.65
58,59308,0,50,K0308,73667.3
43,50456,1,34,K0785,88108.0
48,61627,1,53,K0669,82405.97
64,63436,0,45,K0337,95562.13
30,55391,0,39,K0868,61951.79
38,54535,1,49,K0765,79772.26
58,49680,0,43,K0452,77792.44
41,39800,1,45,K0410,79421.65
42,41390,1,34,K0675,58786.52
50,69342,0,42,K0583,115292.51
37,66398,1,46,K0066,101131.52
42,59171,1,52,K0491,85183.22
41,42509,0,37,K0984,61738.05
34,24811,1,12,K0395,57541.73
69,76932,1,48,K0255,133380.54
51,48813,0,28,K0800,52577.91
61,49390,0,33,K0313,85180.08
30,50998,1,38,K0888,95539.65
47,55841,1,60,K0222,70169.26
30,24933,0,26,K0236,40285.18
57,58882,1,48,K0436,80802.02
41,49499,1,34,K0602,77389.91
66,82969,0,62,K0306,138621.96
53,44034,1,40,K0479,69020.15
62,65422,1,48,K0650,113261.61
56,84320,1,62,K1049,104544.82
53,63121,0,49,K0250,82460.27
39,40699,1,34,K1038,66612.75
45,45230,0,32,K0584,91201.91
47,56068,1,52,K0072,88529.55
70,94606,1,58,K0095,139830.32
50,47571,0,39,K0034,83365.24
39,54801,0,42,K0722,84900.44
54,55785,1,38,K0260,90085.01
35,32553,0,19,K0205,66814.09
55,65084,1,38,K0778,104045.73
52,61228,0,55,K0694,81411.98
59,78492,1,56,K0768,122336.16
44,46659,1,36,K0078,87048.58
37,48042,1,36,K0085,54313.59
36,60066,1,36,K1064,78126.13
53,58050,1,37,K0083,78625.3
35,48079,0,39,K0828,65670.65
34,29899,0,24,K0527,45878.08
61,56063,1,44,K0679,98148.54
48,34459,1,43,K0922,44237.57
45,47515,0,40,K0434,66554.21
61,68022,1,67,K0428,77134.04
46,54548,1,58,K0536,100672.01
57,65801,0,41,K0351,110519.86
36,36269,0,37,K0951,49092.44
68,93315,1,69,K0006,141822.38
62,100769,0,71,K0311,125018.41
37,55129,1,53,K0549,73887.77
66,62843,1,53,K0105,113812.63
38,47861,0,37,K0098,66834.88
45,46099,0,41,K0605,84552.86
55,64604,0,38,K0869,69621.64
62,81002,1,54,K0315,115409.9
45,46082,0,34,K0514,78379.94
58,75531,1,50,K1059,94646.93
43,37376,1,42,K0063,63383.29
51,57821,1,43,K0282,93565.3
46,44038,1,34,K0723,72625.61
70,84497,1,69,K0267,116193.41
56,55688,0,49,K0561,94116.03
66,65063,1,56,K0239,106463.24
34,53286,1,40,K0430,57023.34
57,42006,0,32,K0146,50508.57
52,58873,1,39,K1031,80225.35
63,73099,1,51,K0651,118236.17
38,33873,0,28,K0623,56924.35
43,43130,0,35,K0119,61803.14
33,43936,1,45,K0676,78850.36
34,39614,1,26,K0515,56174.25
40,46710,0,38,K0251,77768.25
30,45508,1,38,K1073,64916.89
37,38717,0,34,K0286,56575.12
66,98881,1,64,K0546,131352.24
40,43750,1,28,K0010,67687.0
52,67475,1,37,K0458,93897.2
34,43470,1,41,K0197,70250.0
40,39921,1,45,K0731,65687.09
64,90952,0,61,K0371,116583.47
38,46715,1,50,K0082,101650.7
54,75271,1,60,K0390,122250.09
52,63079,1,46,K0529,100733.46
48,63876,1,51,K0590,90833.08
48,54835,1,52,K1086,73324.94
49,69396,0,52,K0993,86666.48
61,79130,1,49,K0240,106664.4
50,32462,1,30,K0414,65554.28
55,54760,0,45,K0212,86038.6
34,24264,1,19,K0859,22580.44
42,52370,0,48,K0576,74270.35
52,90021,1,64,K0228,124563.89
58,80881,1,33,K1019,102290.11
56,68794,1,57,K0621,108744.79
52,53837,1,22,K0487,64750.35
35,48208,1,50,K0948,78096.44
31,45328,0,39,K0178,68156.01
70,82041,1,44,K1067,106587.98
42,34792,1,27,K0539,71876.74
58,73853,1,50,K0136,97928.13
64,81163,0,60,K0589,124639.62
69,79059,0,53,K0450,115211.31
39,39831,1,41,K0808,56301.97
39,37905,1,32,K1101,61717.86
52,60315,1,40,K0008,106359.99
61,64831,0,35,K0437,113585.7
42,63657,1,40,K0156,84814.32
44,14547,1,29,K0708,28960.3
51,55866,0,35,K0358,84704.04
55,56358,0,49,K0645,105656.62
30,49623,1,42,K0224,65451.53
46,67067,1,45,K0330,88579.71
43,49162,0,43,K0594,84864.12
31,33788,0,28,K0543,67174.26
69,87922,0,54,K0929,120453.26
33,51920,0,38,K0555,54310.26
37,45690,1,34,K0683,64971.82
61,64150,0,47,K0747,91908.79
31,19138,0,37,K0845,21471.65
55,79452,1,49,K0990,117307.67
50,42001,1,29,K0697,69941.72
49,63355,1,45,K1066,111931.58
67,73998,1,55,K0704,111198.78
60,61297,1,39,K0558,89077.09
69,75241,1,44,K0932,128050.39
56,79198,1,54,K1051,85437.96
41,53509,0,37,K0441,90805.35
46,64863,0,45,K1052,101644.17
57,76586,1,45,K0847,104976.08
55,68214,0,47,K0801,75900.15
66,67497,1,55,K0164,117195.91
60,49925,0,39,K0229,84170.57
36,48447,1,45,K0786,90879.99
40,46664,1,36,K0873,59309.97
32,43819,1,47,K0213,57548.45
66,88070,1,53,K0915,129089.55
54,54712,1,35,K0080,92084.38
40,53774,1,37,K0149,90227.44
35,44671,1,34,K0303,58157.49
63,47767,0,53,K0761,81512.67
39,46774,1,40,K0995,93641.06
33,52554,0,34,K0738,60796.8
58,63385,0,41,K0718,93077.19
49,63769,1,41,K0044,88665.28
39,36057,1,32,K0969,73098.28
68,80664,0,63,K0134,122681.63
66,62298,1,53,K0666,88092.7
58,48730,1,34,K0746,87338.42
52,60428,0,43,K0600,102443.11
50,53438,1,50,K0312,81140.06
34,25640,0,27,K0409,59338.04
52,59873,1,39,K1077,76854.89
34,47144,1,50,K0970,76527.76
69,62333,0,32,K0678,123546.58
54,64833,1,54,K0940,93686.46
58,68532,0,51,K0979,86666.09
39,35523,1,36,K0971,54246.76
68,89437,1,62,K0001,114481.9
65,73513,1,43,K0423,119578.06
44,51181,1,33,K0361,83060.06
52,59011,1,45,K0383,88150.0
47,60557,0,49,K0317,96808.99
54,43811,1,45,K0926,77794.39
39,45332,0,24,K0476,77782.69
49,56231,0,33,K0846,67307.08
62,67502,1,43,K0965,104564.5
58,64297,1,56,K0530,110338.33
31,31976,1,33,K0635,45789.83
46,46549,0,43,K1065,62984.61
51,56496,1,49,K0141,78599.02
68,57238,1,54,K0173,84306.46
39,28981,1,28,K0451,67912.67
42,49536,0,39,K0126,62506.44
56,61743,1,41,K0542,100812.37
39,31451,1,27,K0562,41728.39
34,41276,1,33,K0661,53961.89
47,48752,0,38,K1048,78207.23
64,63338,1,39,K0091,92846.99
57,68664,0,58,K1070,118552.48
66,83118,0,67,K0182,113976.31
37,54403,0,47,K0364,53690.36
48,58620,1,52,K0559,95311.77
37,44398,0,39,K0275,57851.21
53,47554,1,37,K0835,85424.37
37,42600,0,25,K0252,65540.55
50,59505,0,37,K0070,78150.23
62,47766,1,47,K0292,91150.03
66,73170,0,54,K0132,109500.77
59,81225,1,57,K0301,111772.36
42,47660,0,46,K0567,69281.41
56,45484,1,35,K0327,68018.6
40,33908,1,45,K0848,69238.65
57,65311,1,47,K0145,87351.94
51,59485,0,49,K0500,96388.95
41,50613,1,35,K0905,81875.89
30,47053,1,39,K1095,85990.12
59,69178,1,48,K0496,80282.57
53,62497,1,47,K0339,95797.57
42,58398,1,38,K0804,86430.54
62,84681,0,50,K0165,115423.31
45,47574,1,33,K0029,87328.47
41,46486,1,40,K0517,79483.05
46,58938,1,57,K0194,78516.69
46,37812,1,39,K0693,67614.67
53,70392,1,59,K0170,89785.65
45,45742,0,39,K0599,83874.88
31,39454,1,39,K0174,65981.74
50,57994,1,49,K0519,93543.59
67,79290,1,46,K0853,122565.05
47,45296,0,40,K0592,69529.36
52,66942,0,50,K0492,90579.78
55,63491,1,39,K0074,115135.5
66,65032,1,53,K0920,96232.71
31,60920,0,49,K0235,92362.74
49,67407,1,49,K0215,96728.92
54,60464,0,55,K0793,79245.06
52,80319,0,51,K0133,124885.27
57,75502,1,61,K0616,112788.96
52,50014,1,38,K0788,86755.55
48,31841,1,28,K0186,58334.15
55,54161,1,36,K0042,104859.86
56,74257,0,49,K0109,110427.22
62,60595,0,36,K0712,101207.94
67,89170,1,76,K1093,123408.48
42,45845,1,42,K0875,97820.78
68,89120,0,55,K0484,135200.0
33,49726,1,41,K0469,71847.89
51,50677,0,34,K0025,83785.2
55,66128,0,43,K0924,117054.79
51,68102,1,52,K0910,101089.53
53,80451,1,58,K0895,112949.61
30,30285,1,22,K0908,49774.03
33,45996,1,29,K0367,70449.86
66,78982,1,45,K0794,116107.59
38,33666,1,13,K0384,50494.07
60,70713,0,48,K0455,93794.62
64,79102,1,54,K0265,120716.52
43,56035,1,51,K0781,83116.94
70,90512,1,56,K0818,133444.42
66,82404,0,55,K0445,113241.16
51,62402,1,55,K0396,106473.29
46,62212,1,42,K0177,81404.44
59,72303,0,44,K0019,101687.09
44,44135,1,50,K0595,90278.48
49,62203,1,43,K0724,85122.57
65,65989,1,44,K0062,102710.38
50,59828,0,46,K0273,87813.11
38,47762,1,39,K1037,72194.21
62,56784,0,38,K0279,80874.62
59,64556,1,52,K0707,115909.26
61,72628,0,43,K0369,107586.29
32,26860,0,26,K0744,37058.29
44,49072,1,43,K0978,68862.67
35,48297,1,37,K0823,62369.93
48,60494,1,39,K0548,85749.76
37,41869,1,29,K0737,62593.9
30,45604,1,35,K0756,69872.12
64,74222,1,50,K0457,108488.51
68,72078,1,51,K0394,93935.85
59,65278,1,42,K0831,91121.52
47,46708,1,31,K1006,70719.18
48,47062,0,34,K0376,79825.38
55,66738,1,52,K0413,120215.5
54,56229,0,40,K0075,97038.57
69,76330,1,47,K1033,120784.01
42,53660,1,37,K0501,77862.18
30,31727,0,20,K0674,62658.18
32,42406,1,39,K0115,45125.2
59,64816,1,54,K0418,102801.02
53,77106,1,51,K1057,111716.45
54,43162,1,34,K0499,81298.0
45,42110,1,33,K0733,67204.52
33,27264,1,15,K0740,49485.54
65,73235,0,40,K0012,115599.05
58,70268,1,48,K0397,103403.43
39,35011,0,32,K0668,57408.01
69,61320,1,50,K0946,113385.31
31,26047,1,24,K0043,63491.25
61,76325,1,45,K0168,116425.9
62,84673,1,57,K0417,118973.65
57,77726,0,56,K0577,125762.16
63,80199,0,70,K0904,138366.29
48,77759,0,42,K0427,130352.49
58,63366,1,49,K0545,104762.36
44,62396,0,43,K1034,94641.94
45,45825,1,42,K1084,80681.1
35,35242,1,34,K0844,63070.96
54,72410,1,53,K0741,117491.52
54,49596,0,40,K0258,68169.84
55,50959,1,46,K0336,88240.21
51,47883,1,45,K0016,90273.18
70,89117,0,63,K0758,128700.13
40,56643,0,35,K0913,96334.06
64,92461,1,66,K0906,105443.46
69,83089,1,42,K0223,136022.46
57,75347,0,49,K0180,111539.65
41,63780,0,47,K0100,90449.48
45,38876,1,45,K0522,78038.11
62,75575,1,50,K0023,124516.56
54,51135,1,36,K0357,95898.4
54,71828,0,54,K0802,99915.01
52,58284,1,43,K1025,93481.79
57,62292,1,46,K0612,99289.0
69,85191,0,55,K1071,134143.64
36,28194,0,33,K0341,33483.78
45,45178,0,43,K0432,70342.95
59,70484,0,58,K0852,107496.17
56,79765,1,59,K0991,117216.16
38,38681,1,36,K0204,65930.74
55,53760,0,33,K0760,93912.15
68,83716,0,53,K0094,125611.48
55,62026,0,61,K1039,79649.63
69,71612,1,42,K0069,116360.51
47,60658,0,39,K0751,87172.44
67,87141,0,65,K0285,147149.94
51,66558,1,54,K1060,115445.45
31,28390,0,29,K0435,59963.88
30,14993,0,34,K0154,33678.17
70,86939,0,67,K0076,132147.29
32,43734,0,34,K0876,49055.81
35,39852,1,35,K0581,63972.97
32,30856,1,18,K0447,27934.83
61,73383,0,49,K0189,105062.59
43,54023,1,36,K0272,67446.84
41,62190,1,46,K0237,72016.19
61,72690,0,55,K0488,101692.85
49,56341,1,45,K1068,83125.26
68,76627,1,59,K0560,106279.31
55,51515,0,51,K0118,78247.78
42,44684,0,39,K0884,87308.31
62,79791,0,48,K0972,101275.87
48,67677,1,42,K0513,94002.32
54,42499,1,45,K0634,75331.36
67,94092,1,63,K0662,135212.01
65,59789,1,45,K0959,96988.98
59,68591,1,50,K0715,85536.41
61,83098,1,53,K0127,116002.86
34,39181,0,39,K0117,41898.43
50,65573,1,40,K0474,99556.57
35,58918,1,57,K0829,82500.37
47,57101,1,43,K0058,79106.97
61,63590,0,34,K0604,86929.76
70,68456,1,51,K0810,111312.94
57,81401,1,49,K0657,113014.09
41,49301,1,49,K0759,68579.84
64,75171,1,53,K0106,112055.97
39,45869,1,32,K0636,80389.23
59,55669,0,31,K0370,84097.56
62,63275,1,38,K0269,110109.58
35,51440,0,50,K0656,76009.29
37,45467,1,43,K0047,75752.08
44,47183,1,34,K0350,70636.85
53,70100,1,54,K0196,107089.66
52,69175,1,54,K0103,103778.57
34,16069,0,20,K0992,36929.31
68,54974,1,42,K0947,83002.22
43,58063,1,45,K0916,93120.95
39,42008,0,45,K0882,69244.54
31,31826,0,20,K0264,61856.99
57,66921,0,57,K1062,95988.37
62,84548,1,58,K0444,110128.73
47,69003,0,46,K0811,102390.57
35,40901,1,49,K0878,66275.03
70,84543,1,60,K0305,128417.08
65,88138,0,58,K0342,123538.59
41,38996,0,28,K1002,66237.4
52,68820,0,45,K0314,88926.82
57,57191,0,53,K0150,96831.38
55,67004,1,51,K0125,114150.05
52,66760,1,45,K0937,103242.45
53,53504,1,42,K0977,98914.66
66,82882,0,56,K0665,127752.43
65,70352,0,49,K0051,92584.18
61,65481,1,44,K0354,95229.38
55,51720,1,34,K1061,98714.27
31,36296,0,31,K0143,35482.61
58,65705,0,57,K0471,102678.3
30,23521,1,24,K0654,24543.56
55,67168,0,57,K0400,95526.72
50,59847,1,43,K0754,95607.73
69,69084,1,41,K0321,107414.81
67,78468,0,47,K0020,123598.99
55,77056,1,54,K0685,118343.37
62,80910,0,59,K0962,108522.61
46,46834,1,47,K0941,71854.37
37,50552,1,45,K0999,83913.36
59,79812,1,50,K0408,112833.38
36,41243,1,31,K0538,55677.0
44,39771,1,32,K0953,72076.48
33,57513,0,44,K0966,62722.06
66,61785,0,52,K0176,108131.17
32,40729,1,33,K0246,54787.08
31,30097,1,26,K0985,59710.03
46,47322,1,34,K0803,73162.63
43,35922,0,27,K0901,51533.78
54,85929,1,66,K1054,129836.57
56,73496,0,47,K0155,94040.73
62,76582,0,61,K0639,124774.93
32,45882,1,45,K0663,78435.1
56,58547,0,60,K0288,99077.0
42,56364,1,50,K0626,66173.96
63,66387,0,44,K0686,112799.7
34,43401,1,36,K0880,58491.97
57,40164,0,46,K0570,77779.65
38,35130,1,51,K0890,52189.58
53,55741,0,41,K0018,83296.61
68,93769,1,42,K0128,137923.28
61,67757,0,47,K0323,107610.75
49,35194,1,28,K0256,65668.36
47,40566,0,30,K1087,54913.08
61,68606,1,41,K0191,99514.15
30,45256,1,37,K0116,62326.68
58,60549,0,44,K1081,95376.05
34,40849,1,36,K1013,60157.5
67,80824,1,52,K0607,132575.6
52,63832,0,35,K0181,84810.82
58,48580,1,32,K0302,77722.17
64,71888,0,49,K0907,108277.84
31,29275,1,30,K0854,51628.74
41,39563,1,39,K0867,78550.75
55,59442,1,36,K0821,88964.7
68,67429,0,54,K0797,100668.95
54,71244,1,51,K0518,92301.85
45,50903,1,52,K0373,79988.48
36,69703,0,50,K0046,86119.52
66,76920,1,53,K0477,113661.11
32,52664,1,53,K0158,72598.33
46,58260,1,43,K0891,104933.18
41,59921,0,40,K0172,111734.31
31,42377,1,31,K0017,69094.76
60,64260,0,33,K0512,95392.37
43,42342,1,37,K0049,66374.97
33,30037,1,28,K0192,62787.47
52,84942,1,49,K1000,110785.84
64,84143,0,42,K0516,106701.56
39,40159,1,37,K1102,67170.69
63,71039,1,48,K0822,98163.51
64,64626,0,55,K0481,113550.22
67,93757,1,54,K0284,134096.72
35,52473,1,57,K0860,86012.47
32,47570,1,38,K0787,82420.11
57,73261,0,52,K0226,95081.32
56,61920,1,49,K0027,94455.39
43,70080,0,48,K0933,94723.69
56,74505,1,50,K0438,103566.8
42,70246,1,44,K1075,94369.73
34,24647,1,26,K0365,49746.45
59,61009,0,40,K0230,103904.6
33,41309,1,25,K0038,82824.09
46,62109,1,50,K0670,79387.46
34,45499,1,40,K0750,58717.86
30,37341,1,32,K1088,41316.33
59,56937,1,55,K0375,109491.66
40,41023,0,49,K0470,59175.54
43,53520,1,44,K1089,94866.27
41,31809,1,27,K0688,44588.0
33,43075,1,37,K1012,60255.17
53,43943,1,35,K0842,71806.29
43,48335,0,42,K0870,68096.85
67,72430,1,43,K0195,116130.92
55,52440,0,41,K1043,73482.49
66,79684,0,44,K1027,111685.27
41,49106,1,35,K0504,60659.78
31,32891,0,34,K1090,59486.79
65,79806,0,69,K0988,124673.13
67,93933,0,61,K0580,124053.4
37,45011,1,38,K0161,63758.96
57,68984,0,41,K0681,81325.05
64,70698,1,45,K1041,118855.24
38,49724,0,33,K0163,69448.24
47,51053,1,49,K0706,89354.82
37,66600,1,49,K1015,86748.87
62,64538,1,49,K0153,113786.43
48,48903,0,38,K0817,59895.32
49,65479,1,45,K0866,92555.99
38,61052,1,39,K0903,93849.29
64,79138,0,59,K0112,114319.8
54,70130,1,46,K0227,127478.45
66,74400,1,51,K0824,114577.68
53,59879,1,39,K0104,92542.02
34,39127,0,27,K0422,71127.46
52,77055,1,60,K0420,121764.28
64,91409,1,76,K0897,140161.07
66,86787,0,54,K0587,127064.84
68,80968,1,47,K0931,135002.85
38,45470,1,40,K0673,72615.51
68,80444,1,44,K0120,131551.59
31,33214,1,31,K0054,58416.51
68,73781,0,55,K0152,120941.76
58,54668,1,42,K0404,99426.78
48,45545,0,30,K1103,75700.83
32,35961,0,28,K0208,42830.37
34,43862,1,32,K0659,91438.09
69,84021,1,56,K1005,133358.19
58,48755,1,43,K0911,95736.22
40,50085,0,42,K0009,68956.52
58,67540,1,47,K0960,106543.4
47,63067,1,41,K0037,102867.75
42,47953,1,45,K0453,65155.0
70,86609,1,60,K0652,142906.55
67,53207,1,41,K0254,90531.33
64,82125,0,66,K0304,99958.46
40,40278,1,37,K0893,45917.71
70,80568,0,43,K0572,120515.75
62,70035,1,52,K0624,98348.59
33,41209,1,30,K0849,56426.61
63,80414,1,49,K1104,101554.64
35,41525,1,30,K0851,75726.31
47,67211,1,45,K0263,84216.96
37,48132,1,32,K0611,63544.0
64,72069,1,47,K0298,116154.84
68,107689,1,60,K0415,165482.31
54,56914,0,36,K0151,83783.08
62,73197,0,41,K0939,115604.15
57,40366,1,23,K0779,58229.04
47,55970,1,40,K0641,76520.05
70,73211,0,64,K1040,121272.09
51,51743,1,42,K0551,91562.01
62,75303,1,48,K0942,116978.57
66,64077,1,48,K0489,109821.52
35,35300,1,33,K0820,58384.57
67,71177,1,57,K0711,112500.75
59,79235,0,68,K0148,130383.85
49,52215,1,37,K0147,87326.82
48,54204,0,54,K0863,86153.64
45,40446,0,41,K0346,76851.18
69,79491,1,74,K0885,127058.7
38,46165,1,35,K1036,60325.44
60,56507,0,41,K0660,84172.64
65,69167,1,42,K0771,110950.37
52,81387,1,55,K0349,91299.91
39,47664,1,36,K0464,71040.72
31,43389,0,47,K0326,52734.87
31,39617,1,35,K0187,60089.79
44,52258,0,47,K0124,72060.58
57,76694,0,58,K1016,120681.69
53,66225,1,49,K0609,78191.01
35,56593,1,51,K0144,74955.3
57,60125,1,41,K0752,89090.25
58,56452,0,37,K1082,86683.9
63,76247,1,40,K0198,103879.52
57,81624,1,63,K0610,123507.46
